Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Reverse Grip Triceps Pushdown,https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown,Triceps,Cable,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg']"
Bear crawl sled drag,https://www.bodybuilding.com/exercises/bear-crawl-sled-drags-,Quadriceps,Other,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m4-crop-600x600.jpg']"
Rocky Pull-Ups/Pulldowns,https://www.bodybuilding.com/exercises/rocky-pull-upspulldowns,Lats,Other,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_2.jpg']"
Hanging Oblique Knee Raise,https://www.bodybuilding.com/exercises/hanging-oblique-knee-raise,Abdominals,Body Only,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m2-600x600.jpg']"
Bodyweight Flyes,https://www.bodybuilding.com/exercises/bodyweight-flyes,Chest,E-Z Curl Bar,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m2-600x600.jpg']"
Standing Calf Raises,https://www.bodybuilding.com/exercises/standing-calf-raises,Calves,Machine,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg']"
Push-Ups - Close Triceps Position,https://www.bodybuilding.com/exercises/push-ups-close-triceps-position,Triceps,Body Only,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m2-square-600x600.jpg']"
One-Arm Long Bar Row,https://www.bodybuilding.com/exercises/one-arm-long-bar-row,Middle Back,Barbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg']"
Single-dumbbell front raise,https://www.bodybuilding.com/exercises/single-dumbbell-raise,Shoulders,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m2-square-600x600.jpg']"
Incline cable chest fly,https://www.bodybuilding.com/exercises/incline-cable-flye,Chest,Cable,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m2-square-600x600.jpg']"
